Nome,Data,Lugar,Latitude,Longitude
The International 2011, 17/08/2011, Cologne, 50°56'6.6228''N, 6°57'11.1636''E
The International 2012, 17/08/2012, Seattle, 47°36'28.8468''N, 122°20'6.6012''W
The International 2013, 17/08/2013, Seattle, 47°36'28.8468''N, 122°20'6.6012''W
The International 2014, 17/08/2014, Seattle, 47°36'28.8468''N, 122°20'6.6012''W
The International 2015, 17/08/2015, Seattle, 47°36'28.8468''N, 122°20'6.6012''W
The International 2016, 17/08/2016, Seattle, 47°36'28.8468''N, 122°20'6.6012''W
The International 2017, 17/08/2017, Seattle, 47°36'28.8468''N, 122°20'6.6012''W
The International 2018, 17/08/2018, Vancouver, 49°14'46.6512''N, 123°6'58.4136''W
The International 2019, 17/08/2019, Shanghai, 31°13'27.6996''N, 121°28'9.0120''E
The International 2021, 17/08/2021, Bucharest, 44°26'22.7868''N, 26°5'46.7016''E
The International 2022, 17/08/2022, Singapore, 1°17'24.9720''N, 103°51'7.0524''E
The International 2023, 17/08/2023, Seattle, 47°36'28.8468''N, 122°20'6.6012''W
