Nome,Data,Lugar,Latitude,Longitude
The Frankfurt Major 2015, 13/11/2015, Frankfurt, 50°6'39.3264''N, 8°40'55.6572''E
The Shanghai Major 2016, 25/02/2016, Shanghai, 31°13'27.6996''N, 121°28'9.0120''E
The Manila Major 2016, 03/06/2016, Manila, 14°35'58.2432''N, 120°59'3.1992''E
The Boston Major 2016, 03/12/2016, Boston, 42°21'40.1220''N, 71°3'25.4988''W
The Kiev Major 2017, 24/04/2017, Kyiv, 50°27'0.0036''N, 30°31'23.9988''E
ESL One Hamburg 2017, 26/10/2017, Hamburg, 53°33'3.9096''N, 9°59'37.2552''E
DreamLeague Season 8, 01/12/2017, Jönköping, 57°46'48.2160''N, 14°10'30.1440''E
ESL One Katowice 2018, 20/01/2018, Katowice, 50°16'15.2688''N, 19°2'23.9748''E
The Bucharest Major, 04/03/2018 , Bucharest, 44°26'22.7868''N, 26°5'46.7016''E
Dota 2 Asia Championships 2018, 29/04/2018, Shanghai, 31°13'27.6996''N, 121°28'9.0120''E
EPICENTER XL, 27/04/2018, Moscow, 55°45'4.4784''N, 37°37'6.3228''E
MDL Changsha Major, 23/05/2018, Changsha, 28°13'40.8036''N, 112°56'20.4108''E
ESL One Birmingham 2018, 23/05/2018, Birmingham, 52°29'22.0956''N, 1°53'54.8700''W
China Dota2 Supermajor, 02/06/2018, Shanghai, 31°13'27.6996''N, 121°28'9.0120''E
The Kuala Lumpur Major, 09/11/2019, Kuala Lumpur, 3°8'27.0708''N, 101°41'35.5452''E
The Chongqing Major, 19/01/2019, Chongqing, 29°26'21.5700''N, 106°53'15.7308''E
DreamLeague Season 11, 14/04/2019, Stockholm, 59°20'4.5276''N, 18°3'47.6640''E
MDL Disneyland® Paris Major, 04/04/2019, Paris, 48°51'52.9776''N, 2°20'56.4504''E
EPICENTER Major 2019, 22/06/2019, Moscow, 55°45'4.4784''N, 37°37'6.3228''E
MDL Chengdu Major, 16/11/2019, Chengdu, 30°39'25.2000''N, 104°3'57.6072''E
DreamLeague Season 13, 18/01/2020,  Leipzig, 51°20'24.7164''N, 12°21'36.3708''E
ONE Esports Singapore Major 2021, 27/05/2021, Singapore, 1°17'24.9720''N, 103°51'7.0524''E
WePlay AniMajor, 02/06/2021, Kyiv, 50°27'0.0036''N, 30°31'23.9988''E
ESL One Stockholm Major 2022, 12/05/2022, Stockholm, 59°20'4.5276''N, 18°3'47.6640''E
PGL Arlington Major 2022, 04/08/2022, Arlington, 32°42'18.0072''N, 	97°7'22.0080''W
Lima Major 2023, 22/02/2023, Lima, 12°2'46.9464''S, 77°2'34.0548''W
ESL One Berlin Major 2023, 26/05/2023, Berlin, 52°31'12.0288''N, 13°24'17.8344''E
Bali Major 2023, 29/06/2023, Bali, 8°24'34.2648''S, 115°11'20.1084''E
