Nome,Data,Lugar,Latitude,Longitude
DreamHack Winter 2013, 28/11/2013,Jönköping, 57°46'57.4176''N, 14°9'42.4368''E
ESL Major Series One Katowice 2014, 13/03/2014, Katowice, 50°16'15.2688''N, 19°2'23.9748''E
ESL One: Cologne 2014, 14/08/2014, Cologne, 50° 56' 6.6228'' N, 6° 57' 11.1636'' E
DreamHack Winter 2014, 27/11/2014,Jönköping, 57°46'57.4176''N, 14°9'42.4368''E
ESL One: Katowice 2015, 12/03/2015, Katowice, 50°16'15.2688''N, 19°2'23.9748''E
ESL One: Cologne 2015, 20/08/2015, Cologne, 50° 56'6.6228''N, 6° 57'11.1636''E
DreamHack Open Cluj⁠-⁠Napoca 2015, 01/11/2015, Cluj⁠-Napoca, 46°46'15.312''N, 23°35'23.712''E
MLG Major Championship: Columbus 2016, 29/03/2016, Columbus, 39°57'45.9396''N, 82°59'46.6512''W
ESL One: Cologne 2016, 05/07/2016, Cologne, 50°56'6.6228''N, 6°57'11.1636''E
ELEAGUE Major Atlanta 2017, 22/01/2017, Atlanta, 33°44'54.78''N, 84°23'29.4072''W
PGL Major Kraków 2017, 16/07/2017, Kraków, 50°3'52.7436''N, 19°56'41.9316''E
ELEAGUE Major Boston 2018, 12/01/2018, Boston, 42°21'40.1220''N, 71°3'25.4988''W
FACEIT Major: London 2018, 05/09/2018, London, 	51°30'35.5140''N, 0°7'5.1312''W
Intel Extreme Masters XIII Katowice Major 2019, 13/03/2019, Katowice, 50°16'15.2688''N, 19°2'23.9748''E
StarLadder Berlin Major 2019, 23/08/2019, Berlin, 52°31'12.0288''N, 13°24'17.8344''E
PGL Major Stockholm 2021, 26/10/2021 , Stockholm, 59°20'4.5276''N, 18°3'47.6640''E
PGL Major Antwerp 2022, 09/05/2022, Antwerp, 51°15'36.7092''N, 	4°24'9.9756''E
Intel Extreme Masters Rio Major 2022, 22°54'29.9988''S, 43°11'46.9968''W
BLAST.tv Paris Major 2023, 08/05/2023, Paris, 48°51'52.9776''N, 2°20'56.4504''E
